soru,cevap
İstihkak davasında davacı taraf kimdir ve hangi haklara sahiptir?,"İstihkak davasında davacı taraf, mülkiyet hakkına sahip olan kişidir. Davacı, malın gerçek malikidir ve mülkiyet hakkını bağımsız bir şekilde, elbirliği halinde veya paylı mülkiyet şeklinde elde etmiş olabilir."
Paylı mülkiyet durumunda bir paydaşın dava açma hakkı nasıl işler?,"Paylı mülkiyet durumunda bir paydaş, kendi payı için bağımsız olarak dava açabileceği gibi, malın tamamı için bölünemeyen menfaatlerde diğer paydaşları temsilen de tek başına dava açabilir."
Elbirliği mülkiyetinde davayı açma hakkı kimlere aittir?,"Elbirliği mülkiyetinde davayı açma hakkı, tüm ortaklara aittir. Bu şekilde, tüm ortakların sağlanan korumadan yararlanması sağlanır."
İstihkak davasının davalısı kimdir ve zilyetlik nasıl belirlenir?,"İstihkak davasının davalısı, malı haksız olarak elinde bulunduran kişidir. Taşınır mallarda zilyetlik, eşyanın fiili hâkimiyeti altında bulundurulmasıyla sağlanırken, taşınmazlarda zilyetlik tapu sicili üzerinden belirlenir."
Zilyetliğin haksızlığından ne anlaşılmaktadır ve bu durumda hangi kişiler istihkak davası açamaz?,"Zilyetliğin haksızlığından, malı elinde bulundurmanın herhangi bir ayni veya kişisel hakka dayanmaması durumu anlaşılmaktadır. Örneğin, intifa hakkı sahibi veya kira sözleşmesi kapsamında kiracı olarak malı elinde bulunduran kişiler, malın zilyetliğini bir hakka dayanarak kullandıkları için bu kişilere karşı istihkak davası açılamaz."
Adi istihkak davasında zamanaşımı süresi olmamasının nedeni nedir?,"Adi istihkak davasında zamanaşımı süresi olmamasının nedeni, davanın ayni hakka dayanmasından kaynaklanmasıdır."
Adi istihkak davasında mülkiyet hakkının korunmasına yönelik olarak neden süre sınırlaması getirilmez?,Adi istihkak davasında mülkiyet hakkının korunmasına yönelik olarak süre sınırlaması getirilmez çünkü davanın ayni hakka dayanması bu durumu gerektirir.
Türk Medeni Kanunu’nun 639. maddesi uyarınca miras sebebiyle istihkak davası için hangi süreler öngörülmüştür?,"Türk Medeni Kanunu’nun 639. maddesi uyarınca miras sebebiyle istihkak davası için iyi niyetli davalılara karşı bir yıl, kötü niyetli davalılara karşı ise yirmi yıl zamanaşımı süresi öngörülmüştür."
İyi niyetli davalılara karşı istihkak davası açmak için hangi koşullar altında bir yıl içinde başvurulması gerekmektedir?,"İyi niyetli davalılara karşı istihkak davası açmak için davacının, mirasçı olduğunu ve iyiniyetli davalının terekeyi veya tereke malını elinde bulundurduğunu öğrendiği tarihten itibaren bir yıl içinde başvurması gerekmektedir."
Kötü niyetli davalılara karşı istihkak davasında zamanaşımı süresi ne kadardır?,Kötü niyetli davalılara karşı istihkak davasında zamanaşımı süresi yirmi yıldır.
Malın elinde bulunduran kişinin iyi niyetli olup olmadığı nasıl belirlenir?,"Malın elinde bulunduran kişinin iyi niyetli olup olmadığı, malın mirasbırakana ait olduğunu bilip bilmemesine göre belirlenir; kişi malın mirasbırakana ait olduğunu bilmiyorsa iyi niyetli, biliyorsa kötü niyetli olarak kabul edilir."
Miras sebebiyle istihkak davasında on yıllık zamanaşımı süresi ne zaman başlar?,"Miras sebebiyle istihkak davasında on yıllık zamanaşımı süresi, mirasbırakanın ölümünün veya vasiyetnamenin açılmasının üzerinden başlar."
Haciz nedeniyle istihkak davasında malın borçlu ve üçüncü kişi tarafından aynı anda bulunması durumunda hangi süre içinde istihkak davası açılmalıdır?,"Malın borçlu ve üçüncü kişi tarafından aynı anda bulunması durumunda, istihkak davası icra mahkemesinin takibin durması veya devamı yönündeki kararının tebliğinden itibaren yedi gün içinde açılmalıdır."
Malın yalnızca üçüncü kişinin elinde bulunduğu durumlarda haciz esnasında istihkak iddiasında bulunulduğunda ne kadar süre verilmektedir?,"Malın yalnızca üçüncü kişinin elinde bulunduğu durumlarda, haciz esnasında istihkak iddiasında bulunulduğunda, icra müdürlüğü alacaklıya üçüncü kişiye karşı dava açması için doğrudan yedi günlük bir süre vermektedir."
Sürelerin veya zamanaşımının geçmesi durumunda ne tür bir hak kaybı yaşanabilir?,"Sürelerin veya zamanaşımının geçmesi durumunda, hak kaybı yaşanabilir ve istihkak iddiasından vazgeçilmiş sayılabilir."
İstihkak davasında sürelerin belirtilmiş olmasının önemi nedir?,"İstihkak davasında sürelerin belirtilmiş olması, icra takibinin hızla sonuçlanmasını sağlar ve hak kaybını önlemek açısından büyük önem taşır."
İstihkak davasında ispat yükü kimin üzerindedir ve bu kişi neyi kanıtlamak zorundadır?,"İstihkak davasında ispat yükü genellikle davacı üzerinde olup, davacı mülkiyet hakkını kanıtlamak zorundadır."
Davacının mülkiyet hakkını ispatlaması dışında hangi durumu da ortaya koyması gerekmektedir?,"Davacının mülkiyet hakkını ispatlamasının yanı sıra, davalının zilyetliğinin haksız olduğunu da ortaya koyması gerekmektedir."
Davalı tarafın ispatlama hakkı neyi kapsamaktadır?,"Davalı taraf, davacının mal sahibi olmadığını ve kendisinin malın zilyetliğini geçerli bir hukuki sebebe dayandırdığını ispatlama hakkına sahiptir."
"Davalı, malın zilyetliğini sürdürmek için hangi tür belgeleri kanıt olarak sunabilir?","Davalı, kira sözleşmesi veya rehin hakkı gibi geçerli bir hukuki sebebe dayalı olarak malın zilyetliğini sürdürdüğünü kanıtlayabilir."
İstihkak davasındaki dengeli ispat yükü neyi amaçlamaktadır?,"İstihkak davasındaki dengeli ispat yükü, hem davacının mülkiyet hakkını koruma hem de davalının geçerli haklarını savunma açısından adil bir çözüm sağlamayı amaçlar."
İstihkak davasında görevli mahkeme hangi tür mahkemedir ve taşınmaz durumunda yetkili mahkeme neresi olur?,"İstihkak davasında görevli mahkeme asliye hukuk mahkemesidir ve taşınmaz durumunda yetkili mahkeme, taşınmazın bulunduğu yer mahkemesidir."
Miras sebebiyle açılan istihkak davasında görevli mahkeme ve yetkili mahkeme hangileridir?,"Miras sebebiyle açılan istihkak davasında görevli mahkeme asliye hukuk mahkemesidir ve yetkili mahkeme, mirasbırakanın son yerleşim yeri mahkemesidir."
Haciz sebebiyle açılan istihkak davalarında görevli mahkeme ve yetkili mahkeme nasıl belirlenir?,"Haciz sebebiyle açılan istihkak davalarında görevli mahkeme icra mahkemesidir ve yetkili mahkeme, icra takibinin yapıldığı yer veya davalının yerleşim yeri mahkemesidir."
Taşınırlar bakımından istihkak davasında yetkili mahkeme nasıl belirlenir?,"Taşınırlar bakımından istihkak davasında yetkili mahkeme, genel yetki kuralları uygulanarak davalının son yerleşim yeri mahkemesi olacaktır."
İstihkak davasının temel amacı nedir ve sonuçlandığında ne sağlar?,"İstihkak davasının temel amacı, mülkiyet hakkının tespit edilmesini sağlamak ve dava konusu eşyanın malike geri verilmesini sağlamaktır."
"Haksız zilyet, mahkeme kararına rağmen eşyayı geri vermezse ne yapılır?","Haksız zilyet, mahkeme kararına rağmen eşyayı geri vermezse, kararın icrası için icra yoluna başvurulur."
İyi niyetli zilyetlerin geri verme yükümlülükleri nelerdir?,"İyi niyetli zilyet, mevcut hakkına uygun şekilde kullandığı eşyayı geri vermek zorundadır, ancak tazminat ödeme yükümlülüğü bulunmaz ve geri vermeden önce yaptığı zorunlu giderler için tazminat talep edebilir."
İyi niyetli olmayan zilyetlerin sorumlulukları nelerdir?,"İyi niyetli olmayan zilyet, geri vermekle yükümlü olduğu eşyayı haksız alıkoyduğu için hak sahibine verdiği zararlar ve elde ettiği ürünler için tazminat ödemek zorundadır."
İstihkak davasının sonuçları neden önemlidir?,"İstihkak davasının sonuçları, hem hak sahibinin mülkiyet hakkını koruma altına alır hem de haksız zilyedin sorumluluklarını belirleyerek adil bir sonuç elde edilmesine yardımcı olur."
Sebepsiz zenginleşme davasında hangi koşulların sağlanması gerekmektedir?,"Sebepsiz zenginleşme davasında, bir tarafın haksız bir şekilde zenginleşmesi ve diğer tarafın fakirleşmesi gerekmektedir."
Sebepsiz zenginleşme ile fakirleşme arasında ne tür bir ilişki olmalıdır?,Sebepsiz zenginleşme ile fakirleşme arasında uygun bir illiyet bağı bulunmalıdır.
Hangi durumlarda sebepsiz zenginleşmeden bahsedilebilir?,"Sebepsiz zenginleşmeden, bir tarafın hukuken geçerli olmayan bir sebep ile zenginleşmesi ve diğer tarafın fakirleşmesi durumunda bahsedilebilir."
6098 Sayılı Türk Borçlar Kanunu'na göre sebepsiz zenginleşmenin tanımı nedir?,"6098 Sayılı Türk Borçlar Kanunu'na göre sebepsiz zenginleşme, bir kimsenin malvarlığı değerlerinin, haklı ve geçerli bir hukuki neden olmaksızın başkasının malvarlığı değerlerinin azalmasına sebep olacak şekilde artması anlamına gelir."
Sebepsiz zenginleşme durumunda hangi taraflar arasında bir borç ilişkisi doğar?,"Sebepsiz zenginleşme durumunda, sebepsiz yere başkasının malvarlığı aleyhine zenginleşen kişi ile malvarlığı değeri eksilen kişi arasında bir borç ilişkisi doğar."
Sebepsiz zenginleşen kişinin yükümlülükleri nelerdir?,"Sebepsiz zenginleşen kişi, aleyhine zenginleştiği kişiye karşı bu malvarlığı değerlerini iade etmekle yükümlüdür."
Hangi durumlarda sebepsiz zenginleşme yükümlülüğü doğar?,"Sebepsiz zenginleşme yükümlülüğü, özellikle zenginleşmenin geçerli olmayan, gerçekleşmemiş veya sona ermiş bir sebebe dayanması durumunda doğar."
Geçerli bir sözleşme olmaksızın yapılan bir ödeme durumunda hangi taraf zenginleşir ve hangi taraf fakirleşir?,"Geçerli bir sözleşme olmaksızın yapılan bir ödeme durumunda, ödemeyi yapan taraf fakirleşmiş, ödemeyi alan taraf ise zenginleşmiş olur."
Sebepsiz zenginleşme davası ne zaman açılır?,"Sebepsiz zenginleşme davası, sebepsiz zenginleşmenin mevcut olduğu durumlarda, gerekli şartların sağlanmasıyla birlikte açılır."
Sebepsiz zenginleşme davasında hangi talep yapılır?,"Sebepsiz zenginleşme davasında, sebepsiz olarak zenginleşen kişiden, zenginleşmeye konu olan malvarlığı değerlerinin iadesi talep edilir."
Sebepsiz zenginleşme davasının amacı nedir?,"Sebepsiz zenginleşme davasının amacı, sebepsiz olarak zenginleşen kişiden malvarlığı değerlerinin iadesini sağlamaktır."
Sebepsiz zenginleşme davasının temel şartlarından biri olan zenginleşme ne anlama gelmektedir?,"Sebepsiz zenginleşme davasının temel şartlarından biri olan zenginleşme, bir tarafın malvarlığında zenginleşme olması gerektiği anlamına gelir. Eğer taraflar arasındaki ilişki sonucunda bir tarafın malvarlığı değerinde artış olmamışsa, sebepsiz zenginleşme davası söz konusu olmayacaktır."
"Fakirleşme kavramı, sebepsiz zenginleşme davasında nasıl bir rol oynamaktadır?","Fakirleşme kavramı, sebepsiz zenginleşme davasında diğer tarafın malvarlığında azalma olması gerektiğini ifade eder. Malvarlığında azalma olan taraf, iadeyi talep hakkına sahip olan taraftır."
Sebepsiz zenginleşme davasında illiyet bağı neden önemlidir?,"Sebepsiz zenginleşme davasında illiyet bağı, bir tarafın zenginleşmesi ile diğer tarafın fakirleşmesi arasında sebep-sonuç ilişkisi bulunması gerektiği için önemlidir. Zenginleşen tarafın malvarlığındaki artış, fakirleşen tarafın malvarlığındaki azalmadan kaynaklanmalıdır."
"Hukuki nedenin bulunmaması, sebepsiz zenginleşme davasında ne anlama gelir?","Hukuki nedenin bulunmaması, sebepsiz zenginleşme davasında zenginleşen kişinin malvarlığındaki artışın haklı bir hukuki nedeni olmaması gerektiği anlamına gelir. Örneğin, geçerli bir sözleşmeye dayanarak bir borcun tahsil edilmesi durumunda bu artış haklı bir hukuki nedene dayanır."
Zamanaşımına uğramış borçların ifa edilmesi durumunda Sebepsiz Zenginleşme Davası açılabilir mi?,Zamanaşımına uğramış borçların ifa edilmesi halinde Sebepsiz Zenginleşme Davası açılamaz.
Ahlaki ödevlerin yerine getirilmesi durumunda zenginleşmeler geri istenebilir mi?,Ahlaki ödevin yerine getirilmiş olmasından kaynaklanan zenginleşmeler geri istenemez.
"Türk Borçlar Kanunu madde 81’e göre, hukuka veya ahlaka aykırı sonuçlar için verilen şeyler geri istenebilir mi?",Hukuka veya ahlaka aykırı bir sonucun gerçekleşmesi için verilmiş olan şeyler geri istenemez.
Borçlanılmamış edimin ifası ile ilgili olarak 6098 Sayılı Türk Borçlar Kanunu’nun 78. maddesi neyi düzenlemektedir?,"6098 Sayılı Türk Borçlar Kanunu’nun 78. maddesi, borçlanmamış edimin ifasını düzenlemekte ve bu edimi kendi isteğiyle yerine getiren kişinin, ancak kendisini borçlu sanarak yerine getirdiğini ispat etmesi durumunda geri isteyebileceğini belirtmektedir."
Kanunda geri istenemeyecek zenginleşmeler nelerdir ve bu durumlar hangi koşullarda ortaya çıkar?,"Kanunda geri istenemeyecek zenginleşmeler, zamanaşımına uğramış bir borcun ifasından veya ahlaki bir ödevin yerine getirilmesinden kaynaklanan zenginleşmelerdir. Bu durumlar, örneğin 10 yıllık zamanaşımı süresine tabi bir alacak 12. yıl ödenirse ortaya çıkar ve borçlu bu durumda sebepsiz zenginleşme davası yoluyla yerine getirdiği edimi talep edemez."
Zamanaşımına uğramış bir borcun ifası durumunda borçlu ne gibi haklara sahip değildir?,"Zamanaşımına uğramış bir borcun ifası durumunda borçlu, bu durumda sebepsiz zenginleşme davası yoluyla yerine getirdiği edimi geri talep etme hakkına sahip değildir."
Sebepsiz zenginleşmede iade yükümlülüğünün kapsamını belirleyen en önemli faktör nedir?,"Sebepsiz zenginleşmede iade yükümlülüğünün kapsamını belirleyen en önemli faktör, zenginleşenin iyi niyetli olup olmamasıdır."
"İyi niyetli zenginleşen bir kişi, zenginleşmenin geri istenmesi durumunda hangi şartlar altında iade yükümlülüğünden muaf olabilir?","İyi niyetli zenginleşen bir kişi, zenginleşmeye konu olan malı bir bağışlama sözleşmesi ile başka birine bağışlamışsa, bu durumda iade yükümlülüğünden muaf olur."
"Kötüniyetli zenginleşen bir kişi, zenginleşmeye konu olan malı elden çıkardığında hangi yükümlülükleri taşır?","Kötüniyetli zenginleşen bir kişi, zenginleşmeye konu olan malı iade etme yükümlülüğünden kaçınmak amacıyla elinden çıkarmışsa, zenginleşmenin tamamını geri vermekle yükümlüdür."
"Yargıtay, iadesi gereken borcun para borcu olduğu durumlarda, borçlunun iade yükümlülüğünü nasıl değerlendirir?","Yargıtay, iadesi gereken borcun para borcu olduğu durumlarda, bu paranın elden çıkmış olması ya da harcanarak tükenmiş olmasının borçlunun iade yükümlülüğünü ortadan kaldırmayacağı kanaatindedir."
"Eğer zenginleşen kişi kötü niyetliyse ve malın aynen iadesi mümkün değilse, iade nasıl yapılmalıdır?","Eğer zenginleşen kişi kötü niyetliyse ve malın aynen iadesi mümkün değilse, bu durumda iade nakdi olarak, yani para ile yapılacaktır."
Sebepsiz zenginleşme davasının tali niteliği ne anlama gelmektedir?,"Sebepsiz zenginleşme davasının tali niteliği, bu davanın açılabilmesi için sebepsiz zenginleşmeye konu olan malvarlığı değerinin asli nitelikteki başka davalarla talep edilememesi gerektiği anlamına gelir."
Sebepsiz zenginleşme davası hangi durumlarda açılmaz?,"Sebepsiz zenginleşme davası, malvarlığı değeri başka bir dava türüyle, örneğin mülkiyet hakkına dayanarak istihkak davası veya sözleşme hükümlerine dayanarak geri talep edilebiliyorsa açılmaz."
Yargıtay Hukuk Genel Kurulu'nun kararına göre sebepsiz zenginleşme davasında hangi koşulların sağlanması gerekmektedir?,"Yargıtay Hukuk Genel Kurulu'nun kararına göre, sebepsiz zenginleşme davasında bir taraf zenginleşirken diğerinin fakirleşmesi, zenginleşme ve fakirleşme arasında uygun nedensellik bağının bulunması ve zenginleşmenin hukuken geçerli bir nedene dayalı olmaması gerekmektedir."
Sebepsiz zenginleşme davasının alacaklıya sağladığı hak nedir?,"Sebepsiz zenginleşme davası, alacaklıya ikinci derecede (tali nitelikte) bir dava hakkı temin eder."
Sözleşmeden doğan bir hukukî ilişki olduğunda sebepsiz zenginleşme davası açma olanağı nedir?,"Sözleşmeden doğan bir hukukî ilişki bulunduğunda, tarafların sebepsiz zenginleşmeye dayanan bir talepte bulunması olanaklı değildir."
İstihkak davasının amacı nedir ve hangi hakka dayanarak açılır?,"İstihkak davasının amacı, mülkiyet hakkına dayanarak malikin ele geçirilen veya alıkonulan şeyini geri elde etmesidir."
Sebepsiz zenginleşme davası ile istihkak davası arasındaki temel fark nedir?,"Sebepsiz zenginleşme davasında davacı mülkiyet hakkına dayanmamaktadır, bu nedenle sebepsiz zenginleşme davası ile istihkak davasının şartları bir arada bulunamaz."
Türk hukukunda mülkiyetin nakledilebilmesi için ne gereklidir?,Türk hukukunda mülkiyetin nakledilebilmesi için geçerli bir hukuki sebep bulunmalıdır.
Geçerli bir hukuki sebebe dayanmayan işlemlerin sonucu nedir?,Geçerli bir hukuki sebebe dayanmayan işlemlerde mülkiyet intikal edemez.
Mülkiyetin karşı tarafa geçmemesi durumunda hangi dava açılamaz?,Mülkiyet karşı tarafa geçmeyeceği için istihkak davası açılamaz.
Sözleşmeden doğan alacak hakkı ile sebepsiz zenginleşme davası arasındaki ilişki nedir?,"Sözleşmeden doğan alacak hakkına dayanarak dava açılabilecek durumlarda, sebepsiz zenginleşmeye dayanarak dava açılamaz."
"Bir alacaklı, sözleşmeden doğan alacağını tahsil edemediğinde hangi yolla tahsil edemeyecektir?","Bir alacaklı, sözleşmeden doğan alacağını tahsil edemediğinde, bu alacağını sebepsiz zenginleşme davası yoluyla tahsil edemeyecektir."
Sebepsiz zenginleşmenin şartlarının oluşmaması ne anlama gelir?,"Sebepsiz zenginleşmenin şartlarının oluşmaması, eğer sözleşmeden kaynaklanan bir alacak hakkı mevcutsa borçlunun zenginleşmediği anlamına gelir."
Bir satış sözleşmesi mevcut olduğunda alacaklının durumu nedir?,"Bir satış sözleşmesi mevcut olduğunda ve alacaklı borcunu tahsil edemiyorsa, alacaklı sebepsiz zenginleşme davası açamaz."
Hukuka aykırı bir davranışla başkasına zarar verilmesi hangi durumu oluşturur?,Hukuka aykırı bir davranışla başkasına zarar verilmesi haksız fiil halini oluşturur.
Sebepsiz zenginleşme davasının açılabilmesi için hangi unsurun bulunması zorunlu değildir?,Sebepsiz zenginleşme davasının açılabilmesi için kusurun bulunması zorunlu bir unsur değildir.
Kusurun bulunduğu durumlarda hangi tür davalar açılabilir?,"Kusurun bulunduğu durumlarda haksız fiil davası açılabileceği gibi, sebepsiz zenginleşme davası da açılabilir."
Bir eşyanın çalınması durumunda hangi tür davalar açılabilir?,Bir eşyanın çalınması halinde sebepsiz zenginleşme davası açılabileceği gibi haksız fiil davası da açılabilir.
Dava açmak isteyenin hangi hakkı bulunmaktadır?,Dava açmak isteyenin seçimlik hakkı bulunmaktadır.
"Sebepsiz zenginleşme davasında, iyiniyetli zenginleşenin geri talep edebileceği giderler nelerdir?","Sebepsiz zenginleşen iyiniyetliyse, zorunlu ve yararlı giderleri geri verme isteminde bulunabilir."
Kötüniyetli zenginleşenin geri talep edebileceği giderler hakkında kanun ne gibi düzenlemeler getirmiştir?,"Kötüniyetli zenginleşen, zorunlu giderlerinin ve yararlı giderlerinden sadece geri verme zamanında mevcut olan değer artışının ödenmesini isteyebilir."
Lüks giderlerin geri talep edilmesi konusunda iyiniyetli ve kötüniyetli zenginleşen arasında nasıl bir ayrım yapılmaktadır?,"Lüks giderler bakımından, kanunda iyiniyetli olup olmama bakımından bir ayrım yapılmamıştır; her iki durumda da bu giderlerin ödenmesini isteme hakkı yoktur."
"Yargıtay 11. Hukuk Dairesi'nin kararında, sebepsiz zenginleşme ile ilgili hangi durumlar vurgulanmıştır?","Yargıtay kararında, davalının gerçekleşmemiş bir sebep nedeniyle zenginleştiği ve bu nedenle zenginleşenin zenginleştiği tutarın tamamı kadar iadeyle yükümlü olduğu vurgulanmıştır."
Sebepsiz zenginleşen kişinin lüks giderleri için hangi koşullarda söküp alma hakkı vardır?,"Sebepsiz zenginleşen, lüks giderleri zenginleşmeye konu olan maldan zararsızca ayrılması mümkünse söküp alabilir; ancak iadeyi talep hakkı olan taraf bunun için bir karşılık öderse, söküp alma hakkı kullanılamaz."
Sebeplessiz zenginleşme davasında zamanaşımı süresi neye göre belirlenmiştir?,"Sebeplessiz zenginleşme davasında zamanaşımı süresi, hak sahibinin geri isteme hakkını öğrendiği tarihten itibaren iki yıl ve zenginleşmenin gerçekleştiği tarihten itibaren on yıl olarak belirlenmiştir."
Zenginleşmenin gerçekleştiği tarihten itibaren zamanaşımının süresi ne kadardır?,Zenginleşmenin gerçekleştiği tarihten itibaren zamanaşımı süresi on yıldır.
